TESTNUM,POINTNUM,TIME,POSIT,FORCE,EXT,CH5,CH6,CH7,CH8
761,1,6.532,0.01524,201.1585083,0.01889337,-0.02308066,,,
761,2,6.702,0.016000001,205.9781189,0.00026507,-0.01302361,,,
761,3,7.098,0.017200001,219.2954407,-0.00087749,-0.024878571,,,
761,4,8.697,0.023499999,268.5058899,0.00145333,-0.00679834,,,
761,5,10.196,0.03004,322.0281677,0.00186466,0.01256289,,,
761,6,10.995,0.033119999,375.0426941,0.00414062,0.01586655,,,
761,7,11.697,0.03624,436.0469055,0.00673652,0.02914861,,,
761,8,12.395,0.038899999,488.5531921,0.00900336,0.045812979,,,
761,9,12.993,0.041639999,542.2004395,0.01137074,0.034160279,,,
761,10,13.696,0.044300001,599.1447144,0.01422256,0.053577699,,,
761,11,14.297,0.047040001,651.3959961,0.0168733,0.045610711,,,
761,12,14.898,0.049339999,700.8568115,0.01953318,0.067567676,,,
761,13,15.396,0.051660001,753.741394,0.02238501,0.072624303,,,
761,14,15.994,0.05398,810.8106079,0.025035741,0.07983841,,,
761,15,16.805,0.057459999,878.6588745,0.030903921,0.081209317,,,
761,16,17.299,0.0594,926.8497925,0.033198189,0.081636317,,,
761,17,17.894,0.061700001,977.8302612,0.03627852,0.080456443,,,
761,18,18.396,0.064039998,1029.571289,0.038846988,0.078332663,,,
761,19,19.093,0.066739999,1083.34082,0.042055301,0.08551307,,,
761,20,19.597,0.069059998,1137.236816,0.044788301,0.069972381,,,
761,21,20.101,0.070979998,1186.94751,0.047850359,0.065623693,,,
761,22,20.599,0.073279999,1249.085327,0.051076941,0.072107397,,,
761,23,21.097,0.075220004,1297.907471,0.053745959,0.072747909,,,
761,24,21.597,0.077179998,1346.222046,0.054733131,0.075456008,,,
761,25,21.997,0.07914,1402.90564,0.056606919,0.072545648,,,
761,26,22.493,0.081039988,1458.700928,0.058325332,0.072747909,,,
761,27,22.996,0.082959987,1516.651611,0.060436781,0.067005843,,,
761,28,23.495,0.085280001,1583.858521,0.063261181,0.071275868,,,
761,29,23.894,0.086839996,1634.453247,0.065171547,0.074017681,,,
761,30,24.299,0.088359997,1682.765381,0.067420103,0.078557402,,,
761,31,24.7,0.090300001,1743.25,0.070043422,0.063792072,,,
761,32,25.199,0.092200004,1803.860962,0.073114611,0.080613762,,,
761,33,25.597,0.093780003,1853.312744,0.075335748,0.08055757,,,
761,34,25.993,0.095299996,1902.637695,0.077794537,0.068702608,,,
761,35,26.294,0.096779987,1952.088867,0.080088802,0.075152613,,,
761,36,26.694,0.09832,2008.133057,0.082456179,0.075231269,,,
761,37,27.104,0.0999,2060.119385,0.085180037,0.079197913,,,
761,38,27.497,0.101799987,2125.165039,0.088178113,0.085153483,,,
761,39,27.895,0.103359997,2181.334473,0.090883687,0.093019329,,,
761,40,28.294,0.104900002,2234.460693,0.093543567,0.088861667,,,
761,41,28.697,0.106819987,2300.772461,0.097044371,0.097626477,,,
761,42,29.095,0.108399987,2357.194092,0.099905342,0.097918637,,,
761,43,29.497,0.109920003,2411.966797,0.10262005,0.102537021,,,
761,44,29.9,0.11186,2483.22168,0.106523037,0.103323601,,,
761,45,30.294,0.113399997,2539.895264,0.109594241,0.10178414,,,
761,46,30.696,0.114979997,2596.441406,0.112848237,0.113459319,,,
761,47,31.098,0.11648,2653.621094,0.116029128,0.116212361,,,
761,48,31.499,0.118419997,2728.549805,0.120124057,0.118077703,,,
761,49,31.897,0.119999997,2787.630127,0.123570018,0.124224298,,,
761,50,32.295,0.1215,2849.752441,0.126805738,0.125112027,,,
761,51,32.699,0.12342,2922.143311,0.130937234,0.122909568,,,
761,52,32.994,0.124580003,2971.206543,0.133670241,0.130236059,,,
761,53,33.396,0.126120001,3030.664795,0.137125328,0.131056353,,,
761,54,33.795,0.127680004,3093.418701,0.140406758,0.133236319,,,
761,55,34.094,0.129219994,3155.538086,0.143797874,0.133550957,,,
761,56,34.493,0.130740002,3220.192383,0.147508904,0.137641206,,,
761,57,34.897,0.132279992,3278.507568,0.150909156,0.122246601,,,
761,58,35.198,0.133419991,3327.694824,0.153532475,0.131865427,,,
761,59,35.394,0.134580001,3377.261719,0.156128377,0.131865427,,,
761,60,35.699,0.13572,3426.067871,0.158971056,0.134629697,,,
761,61,35.994,0.136859998,3476.901611,0.161795467,0.1245277,,,
761,62,36.395,0.138359994,3539.270996,0.165296257,0.1425405,,,
761,63,36.695,0.139839992,3605.56958,0.168961585,0.13737151,,,
761,64,36.993,0.14102,3658.43042,0.171977952,0.134191453,,,
761,65,37.295,0.142159998,3709.008789,0.174646974,0.14073135,,,
761,66,37.596,0.143339992,3761.488525,0.177443951,0.133595914,,,
761,67,37.899,0.144840002,3830.31958,0.181182399,0.139484048,,,
761,68,38.202,0.146039993,3881.784424,0.184125632,0.147967935,,,
761,69,38.498,0.147179991,3935.656982,0.187004879,0.146035194,,,
761,70,38.794,0.148359999,3989.782471,0.189893275,0.147226304,,,
761,71,39.1,0.14948,4040.73877,0.192772523,0.147889286,,,
761,72,39.299,0.150700003,4098.285645,0.195944265,0.156272039,,,
761,73,39.597,0.151799992,4148.861328,0.198585853,0.158227265,,,
761,74,39.896,0.152960002,4205.393066,0.201556504,0.153002083,,,
761,75,40.2,0.154100001,4259.389648,0.204289511,0.157058626,,,
761,76,40.498,0.155639991,4337.722168,0.208000541,0.156002343,,,
761,77,40.797,0.156800002,4393.365234,0.21092549,0.163553566,,,
761,78,41.095,0.15794,4449.388672,0.213804737,0.170194596,,,
761,79,41.399,0.159099996,4505.157715,0.216903359,0.175756887,,,
761,80,41.698,0.160239995,4563.587891,0.220294476,0.169722646,,,
761,81,41.896,0.161420003,4624.298828,0.223822698,0.182319254,,,
761,82,42.196,0.162560001,4679.306152,0.227515444,0.183296859,,,
761,83,42.494,0.163719997,4740.522949,0.231354445,0.184791371,,,
761,84,42.794,0.16489999,4799.331543,0.23477298,0.192398787,,,
761,85,43.101,0.166419998,4877.783691,0.239361495,0.196421593,,,
761,86,43.399,0.167599991,4933.929199,0.242917135,0.189263687,,,
761,87,43.695,0.168739989,4991.975098,0.246353954,0.201781616,,,
761,88,43.994,0.169919997,5054.963379,0.250064999,0.203399733,,,
761,89,44.302,0.171079993,5114.402832,0.253264159,0.203512102,,,
761,90,44.497,0.172239989,5177.13623,0.25703916,0.206399992,,,
761,91,44.799,0.1734,5235.180664,0.260402858,0.210804865,,,
761,92,45.098,0.174539998,5299.940918,0.264205307,0.211928576,,,
761,93,45.399,0.175719991,5359.757813,0.267596424,0.199500516,,,
761,94,45.694,0.176880002,5425.150391,0.271380574,0.215794086,,,
761,95,45.895,0.17802,5485.599609,0.27477169,0.215546861,,,
761,96,46.194,0.179199994,5549.216797,0.278427869,0.234121501,,,
761,97,46.493,0.180339992,5610.425781,0.282029212,0.229188502,,,
761,98,46.795,0.181500003,5675.055176,0.285520881,0.210445285,,,
761,99,47.094,0.182679996,5737.530273,0.289131373,0.233784407,,,
761,100,47.296,0.183819994,5803.425781,0.293180585,0.225682586,,,
761,101,47.595,0.18497999,5866.025879,0.296324909,0.233436048,,,
761,102,47.895,0.186140001,5931.666992,0.300163925,0.231705561,,,
761,103,48.197,0.187299997,5997.307129,0.303810954,0.233919233,,,
761,104,48.497,0.188879997,6083.85498,0.308691978,0.253617615,,,
761,105,48.797,0.189999998,6146.579102,0.312412143,0.237481341,,,
761,106,49.096,0.191159993,6212.34375,0.316123158,0.252212971,,,
761,107,49.397,0.192340001,6280.261719,0.319825053,0.25194329,,,
761,108,49.699,0.193499997,6347.165527,0.323846877,0.233649567,,,
761,109,49.897,0.194639996,6410.647949,0.327676713,0.258775324,,,
761,110,50.198,0.195819989,6479.577148,0.331552297,0.253471494,,,
761,111,50.493,0.196960002,6545.845703,0.335528374,0.263292611,,,
761,112,50.795,0.198119998,6613.760254,0.339641601,0.265955746,,,
761,113,51.095,0.199680001,6701.186523,0.344979644,0.267528921,,,
761,114,51.395,0.200819999,6770.493652,0.348919183,0.259505749,,,
761,115,51.697,0.201999992,6834.478027,0.352730751,0.280114293,,,
761,116,51.997,0.203159988,6903.910156,0.356779993,0.287541896,,,
761,117,52.296,0.204300001,6970.553711,0.360948026,0.294295281,,,
761,118,52.497,0.205479994,7039.604004,0.36482361,0.300104767,,,
761,119,52.795,0.206619993,7106.24707,0.368817985,0.29087925,,,
761,120,53.098,0.207779989,7178.209961,0.37282151,0.288519502,,,
761,121,53.398,0.208959997,7242.063477,0.37689817,0.311139464,,,
761,122,53.694,0.210099995,7310.224121,0.38096568,0.308914542,,,
761,123,53.798,0.210879996,7359.126953,0.383808345,0.308914542,,,
761,124,54.096,0.212019995,7425.639648,0.387821019,0.315128565,,,
761,125,54.397,0.213199988,7494.305176,0.391970813,0.330624282,,,
761,126,54.697,0.214340001,7559.802734,0.395828068,0.322870821,,,
761,127,54.895,0.215499997,7628.213867,0.399986982,0.328365684,,,
761,128,55.197,0.216659993,7696.75,0.404173315,0.334051549,,,
761,129,55.396,0.217459992,7748.183594,0.40714398,0.334051549,,,
761,130,55.696,0.218579993,7813.805664,0.411440015,0.340984732,,,
761,131,55.995,0.219779998,7883.100586,0.415781707,0.338737369,,,
761,132,56.199,0.220919997,7950.747559,0.420214862,0.338737369,,,
761,133,56.395,0.22168,7998.885742,0.423322618,0.356705219,,,
761,134,56.695,0.222839996,8066.277832,0.428130507,0.35746932,,,
761,135,56.994,0.224040002,8133.163086,0.433011502,0.363627166,,,
761,136,57.294,0.225159988,8200.554688,0.437947363,0.366908371,,,
761,137,57.593,0.226319999,8269.084961,0.443468213,0.380257845,,,
761,138,57.797,0.227499992,8334.955078,0.449290693,0.380257845,,,
761,139,58.098,0.228659987,8400.063477,0.455561072,0.384246945,,,
761,140,58.394,0.229800001,8462.638672,0.462151349,0.390269935,,,
761,141,58.696,0.230979994,8527.366211,0.469591677,0.393494934,,,
761,142,58.897,0.23213999,8586.647461,0.47783637,0.400360733,,,
761,143,59.194,0.2333,8643.773438,0.487196207,0.419182569,,,
761,144,59.493,0.234459996,8695.326172,0.49747014,0.422205299,,,
761,145,59.9,0.235979989,8758.785156,0.513840675,0.424845994,,,
761,146,60.198,0.237559989,8818.823242,0.533858299,0.440993428,,,
761,147,60.695,0.239459991,8874.807617,0.564158976,0.478839457,,,
761,148,61.199,0.241420001,8927.37207,0.599560022,0.511100709,,,
761,149,61.695,0.243719995,8979.428711,0.648927748,0.566105485,,,
761,150,62.495,0.246819988,9028.192383,0.723203182,0.640628815,,,
761,151,63.394,0.250660002,9076.829102,0.828208864,0.737288892,,,
761,152,64.695,0.256099999,9125.845703,0.992124915,0.898583889,,,
761,153,66.696,0.264579982,9178.914063,1.26930058,1.188429356,,,
761,154,69.298,0.275359988,9225.650391,1.636628747,1.562844038,,,
761,155,71.898,0.286199987,9271.118164,2.009678602,1.910278797,,,
761,156,74.397,0.296599984,9310.888672,2.36708951,2.277007341,,,
761,157,76.998,0.307399988,9346.350586,2.734956741,2.607586622,,,
761,158,104.142,0.318340003,9033.512695,3.007105112,3.043647051,,,
761,159,104.738,0.319059998,9155.610352,3.007105112,3.033781052,,,
761,160,104.84,0.319619983,9265.672852,3.007105112,3.044826984,,,
761,161,104.938,0.320879996,9447.797852,3.007105112,3.044826984,,,
761,162,105.137,0.322319984,9497.191406,3.007105112,3.078796148,,,
761,163,110.236,0.364759982,9548.864258,3.007105112,4.440937042,,,
761,164,112.338,0.381760001,9599.143555,3.007105112,5.029775143,,,
761,165,114.836,0.402619988,9647.395508,3.007105112,5.689821243,,,
761,166,117.937,0.428920001,9697.041016,3.007105112,6.603260517,,,
761,167,124.037,0.479159981,9745.291992,3.007105112,8.430599213,,,
761,168,131.439,0.540979981,9695.013672,3.007105112,11.00431728,,,
761,169,133.437,0.557219982,9645.242188,3.007105112,11.74128056,,,
761,170,134.637,0.567259967,9594.457031,3.007105112,12.2867775,,,
761,171,135.538,0.574979961,9544.558594,3.007105112,12.62284088,,,
761,172,136.339,0.581939995,9491.492188,3.007105112,12.93817139,,,
761,173,137.037,0.587359965,9441.592773,3.007105112,13.27411079,,,
761,174,137.637,0.592779994,9388.779297,3.007105112,13.49653435,,,
761,175,138.238,0.59740001,9337.991211,3.007105112,13.71303654,,,
761,176,138.838,0.602079988,9289.357422,3.007105112,13.93517971,,,
761,177,139.339,0.606679976,9235.40332,3.007105112,14.15598583,,,
761,178,139.836,0.610579967,9186.893555,3.007105112,14.38120747,,,
761,179,140.24,0.614439964,9134.079102,3.007105112,14.60857582,,,
